"title","authors","year"
"Real Gromov-Witten Theory in All Genera and Real Enumerative Geometry: Computation","Penka Georgieva, 
      
      Aleksey Zinger",2015
"The Theory of Computational Quasi-conformal Geometry on Point Clouds","Ting Wei Meng, 
      
      Lok Ming Lui",2015
"Statistical depth meets computational geometry: a short survey","Peter J. Rousseeuw, 
      
      Mia Hubert",2015
"Potts models with magnetic field: arithmetic, geometry, and computation","Shival Dasu, 
      
      Matilde Marcolli",2015
"Computations in formal symplectic geometry and characteristic classes of moduli spaces","Shigeyuki Morita, 
      
      Takuya Sakasai, 
      
      Masaaki Suzuki",2015
"Using Riemannian geometry for SSVEP-based Brain Computer Interface","Emmanuel K. Kalunga, 
      
      Sylvain Chevallier, 
      
      Quentin Barthelemy",2015
"Social choice, computational complexity, Gaussian geometry, and Boolean functions","Ryan O'Donnell",2014
"Smooth Parametrizations in Dynamics, Analysis, Diophantine and Computational Geometry","Y. Yomdin",2014
"A fractal approach to the dark silicon problem: a comparison of 3D computer architectures -- standard slices versus fractal Menger sponge geometry","Richard Herrmann",2014
"Polyhedral computational geometry for averaging metric phylogenetic trees","Ezra Miller, 
      
      Megan Owen, 
      
      J. Scott Provan",2014
"Unsupervised classification of uncertain data objects in spatial databases using computational geometry and indexing techniques","Ramachandra Rao Kurada",2013
"FDTD analysis of photonic quasicrystals with different tiling geometries and fabrication by single beam computer-generated holography","G Zito, 
      
      B Piccirillo, 
      
      E Santamato, 
      
      A Marino, 
      
      V Tkachenko, 
      
      G Abbate",2013
"A New Generation of Brain-Computer Interface Based on Riemannian Geometry","Marco Congedo, 
      
      Alexandre Barachant, 
      
      Anton Andreev",2013
"Multi-loop Integrand Reduction with Computational Algebraic Geometry","Simon Badger, 
      
      Hjalte Frellesvig, 
      
      Yang Zhang",2013
"Geometry of Quantum Computation with Qutrits","Bin Li, 
      
      Zu-Huan Yu, 
      
      Shao-Ming Fei",2013
"A dynamic symbolic geometry environment based on the GröbnerCover algorithm for the computation of geometric loci and envelopes","Miguel A. Abánades, 
      
      Francisco Botana",2013
"Geometry of Discrete Quantum Computing","Andrew J. Hanson, 
      
      Gerardo Ortiz, 
      
      Amr Sabry, 
      
      Yu-Tsung Tai",2013
"A robust Khintchine inequality, and algorithms for computing optimal constants in Fourier analysis and high-dimensional geometry","Anindya De, 
      
      Ilias Diakonikolas, 
      
      Rocco A. Servedio",2013
"Effects of Modified Dispersion Relations and Noncommutative Geometry on the Cosmological Constant Computation","Remo Garattini",2012
"Geometries for universal quantum computation with matchgates","Daniel J. Brod, 
      
      Ernesto F. Galvão",2012
"A simple Fourier transform-based reconstruction formula for photoacoustic computed tomography with a circular or spherical measurement geometry","Kun Wang, 
      
      Mark A. Anastasio",2012
"Integrand-Level Reduction of Loop Amplitudes by Computational Algebraic Geometry Methods","Yang Zhang",2012
"Computational information geometry: theory and practice","Karim Anaya-Izquierdo, 
      
      Frank Critchley, 
      
      Paul Marriott, 
      
      Paul W. Vos",2012
"The rank of a divisor on a finite graph: geometry and computation","Madhusudan Manjunath",2011
"Medians and means in Riemannian geometry: existence, uniqueness and computation","Marc Arnaudon, 
      
      Frédéric Barbaresco, 
      
      Le Yang",2011
"Frequency-selective near-field enhancement of radiative heat transfer via photonic-crystal slabs: a general computational approach for arbitrary geometries and materials","Alejandro W. Rodriguez, 
      
      Ognjen Ilic, 
      
      Peter Bermel, 
      
      Ivan Celanovic, 
      
      John D. Joannopoulos, 
      
      Marin Soljacic, 
      
      Steven G. Johnson",2011
"Finite Projective Geometry based Fast, Conflict-free Parallel Matrix Computations","Shreeniwas Sapre, 
      
      Hrishikesh Sharma, 
      
      Abhishek Patil, 
      
      B. S. Adiga, 
      
      Sachin Patkar",2011
"Equations defining secant varieties: geometry and computation","Jessica Sidman, 
      
      Peter Vermeire",2011
"Computation of Charged-Particle Transfer Maps for General Fields and Geometries Using Electromagnetic Boundary-Value Data","A. J. Dragt, 
      
      P. Roberts, 
      
      T. J. Stasevich, 
      
      A. Bodoh-Creed A. J. Dragt, 
      
      P. Roberts, 
      
      T. J. Stasevich, 
      
      A. Bodoh-Creed, 
      
      P. L. Walstrom",2010
